"L1Day7" "L2Day7" "L3Day7" "L5Day7" "L6Day7" "R1Day5" "R2Day5" "R3Day5" "R4Day5" "R5Day%"
"gene0" 11.177559491601 11.1445051186974 11.1502556964632 11.0727710728867 11.1470033705683 11.0223268393637 10.8245092047032 10.730015026749 10.7240846101728 10.7003124831475
"gene1" 8.62099184874199 8.51808637358761 8.48285221639368 8.51345135427462 8.56736235005244 8.4398366001124 8.33499434355811 8.10736840558248 8.097951696839 8.11078112765786
"gene2" 6.94289429930108 6.98734378566217 6.90270867075853 6.97247884930459 6.86616260051291 7.0375614596376 6.95823881433365 6.90378282525635 6.75984198284272 6.82737224622246
"gene3" 3.44293534862396 3.48295478884183 3.35772151544091 3.65430326332717 3.49286585983233 2.99624337360245 3.11442890329334 3.12795915875098 3.01366111306497 3.23590367615948
"gene4" 5.88077156200895 5.78264779185099 5.97930655950012 5.85996562400317 6.12331870989523 5.8951243058969 5.73466543280878 5.76751997310726 5.8408854855523 6.04396578330073
"gene5" 12.4053349117571 12.4374240673491 12.4256591200941 12.3796940035853 12.3661667776615 12.0882450067708 11.9745887032086 12.0364278794077 12.0402147664446 12.1227704379612
"gene6" 9.81005323623535 9.75173853337083 9.72544329206641 9.82786695496949 9.78571662741642 10.3807239969457 10.16863348376 10.1875108052659 10.0856389924565 10.0952462082047
"gene7" 7.43893818953015 7.32647225253622 7.39747539593181 7.42683225813857 7.45995353604964 7.96646297416242 7.71961065535974 7.6673543982519 7.55201407414979 7.5513975261838
"gene8" 8.7859021480879 9.08097514731874 9.0473544500571 8.68605901839291 8.87350312705294 8.5079621764991 8.71564505212838 8.76167731171235 8.81245669387329 8.83537450147527
"gene9" 8.71691909729288 8.8942606733235 8.86529846524288 8.76073340564987 8.78571509557698 8.75435062353751 8.66161401677603 8.68040790979265 8.54343562064702 8.52705822400479
"gene10" 8.83204333590355 8.85267863901182 8.76162170595051 8.81978440739619 8.87520923438628 9.27857257933433 9.17863769787844 9.18026421636137 9.03525208893478 8.95025082674223
"gene11" 7.15398925138381 7.30673640305225 7.37114553503095 7.29125821183001 7.16781550706804 7.21041906105538 7.12469504114978 7.29976033526103 7.2473853504512 7.24681946498653
"gene12" 8.15783572474275 8.0745491648204 8.13369909872781 8.21664093208265 8.19616331486897 8.43917510272493 8.25046784036178 8.15264137771353 8.17320606500423 8.11274034085298
"gene13" 8.7216548552431 8.80440311547125 8.87566154835131 8.77200767578975 8.78585631875315 8.54693757472115 8.51674988577085 8.52942300024224 8.50634131671029 8.49528734370266
"gene14" 8.71561954875011 8.87092533025374 8.75441633566801 8.78824744802101 8.75284385943635 8.91197674813926 8.77314522391097 8.80916128517768 8.86628557259002 8.83623262616042
"gene15" 7.70410187639724 7.64119121565409 7.6665374274241 7.67064487525165 7.6564189553283 8.09551099368749 7.89510680880622 7.76496537115547 7.82547850438758 7.70764650571134
"gene16" 9.09424314607762 9.20502687696269 9.15196608383498 9.14498050466578 9.18912266193828 9.44497003477988 9.21462584016847 9.08655053603857 8.94977414177232 9.08119263710524
"gene17" 6.27606395658499 6.18332356629715 6.3126897847812 6.21183370483891 6.35626277412513 5.93430161022433 6.38706075221686 6.08305404763115 6.21171112693933 6.28939635520505
"gene18" 4.21214441302705 4.20070029091082 4.15970898399596 4.28683664896949 4.21239577425842 3.79169801235631 3.95121447447951 4.25818816175504 4.20645130068179 3.99563187294442
"gene19" 9.62264332660631 9.65746003400015 9.66148529109705 9.63252571934739 9.669424739791 9.770830953118 9.68119394443946 9.54931160198166 9.51230013032548 9.45598891925415
"gene20" 10.2261669390934 10.2203980081923 10.1783338270047 10.2020068595194 10.2045191500251 10.4574210223571 10.5557087260203 10.5452183026245 10.5634359153167 10.4799744225591
"gene21" 10.3112470103475 10.2617724330974 10.2379118473257 10.304099637661 10.2760838950623 10.5352177850074 10.534320725256 10.6072655655736 10.5236361577946 10.587869084703
"gene22" 9.89928539537331 9.78050320145279 9.82003656606553 9.74479080944184 9.87009341372253 10.2562605487143 10.2182089080147 10.2746052563601 10.2039887774804 10.3102600113465
