# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/scratch/hodgskiss/Cu_Project/featurecounts/GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-o" "./featurecounts/cu_counts.txt" "/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam
gene0	CP007536.1	3	1442	+	1440	1894	2244	1745	3556	2964	2473	1625	1780	1618	1167
gene1	CP007536.1	1439	1834	+	396	329	358	265	614	500	415	306	281	254	192
gene2	CP007536.1	1831	2433	-	603	92	120	83	203	135	163	124	143	108	88
gene3	CP007536.1	2528	2956	+	429	10	13	8	28	17	5	6	8	5	7
gene4	CP007536.1	3375	3773	+	399	43	46	47	89	96	69	46	60	61	60
gene5	CP007536.1	4145	5557	+	1413	4368	5589	4257	9013	6766	4658	3381	4536	4176	3454
gene6	CP007536.1	5567	6820	-	1254	598	683	509	1303	941	1874	1232	1559	1265	953
gene7	CP007536.1	6912	7388	+	477	119	126	107	250	199	358	225	261	207	154
gene8	CP007536.1	7417	7710	-	294	320	564	419	600	579	350	387	508	496	380
gene9	CP007536.1	7765	8532	+	768	309	473	353	694	546	509	381	483	371	270
gene10	CP007536.1	8578	10092	+	1515	308	390	267	646	529	837	626	776	597	400
gene11	CP007536.1	10142	10774	+	633	99	149	125	252	164	168	126	196	168	125
gene12	CP007536.1	10768	11598	-	831	206	228	190	472	351	457	306	335	315	217
gene13	CP007536.1	11961	12896	+	936	322	439	370	728	565	406	328	413	367	269
gene14	CP007536.1	12964	13920	+	957	293	439	293	684	499	589	417	540	531	381
gene15	CP007536.1	13959	15143	+	1185	148	168	134	302	226	376	249	262	259	166
gene16	CP007536.1	15152	16015	-	864	388	549	397	880	709	933	596	629	483	426
gene17	CP007536.1	16338	17015	+	678	59	64	59	115	106	57	90	74	81	67
gene18	CP007536.1	17029	17385	+	357	15	18	13	35	24	10	12	26	22	11
gene19	CP007536.1	17514	18347	+	834	580	746	579	1249	997	1092	824	866	757	524
gene20	CP007536.1	18385	18855	-	471	815	997	729	1682	1287	1708	1615	1974	1848	1246
gene21	CP007536.1	18834	19301	-	468	880	1018	762	1856	1366	1824	1532	2068	1715	1379
gene22	CP007536.1	19294	19644	-	351	649	685	557	1129	1015	1581	1271	1681	1417	1196
gene23	CP007536.1	19704	20360	-	657	621	745	617	1387	991	1279	1015	1363	1172	870
gene24	CP007536.1	20489	21178	+	690	644	858	636	1426	1155	1016	715	833	765	555
gene25	CP007536.1	21456	22145	+	690	1273	1588	1161	2739	2287	4004	3058	3439	2791	1995
gene26	CP007536.1	22142	22882	+	741	858	950	673	1744	1441	2144	1631	2170	1783	1273
gene27	CP007536.1	22879	23703	+	825	1209	1389	992	2550	2083	3277	2657	3060	2594	1948
gene28	CP007536.1	23720	23926	+	207	218	312	209	626	499	609	488	749	635	343
gene29	CP007536.1	23901	24149	+	249	271	299	196	574	409	760	631	681	635	349
gene30	CP007536.1	24271	24582	+	312	316	455	271	685	488	774	610	756	677	510
gene31	CP007536.1	24621	25346	+	726	168	188	142	353	249	367	319	398	352	259
gene32	CP007536.1	25381	26151	+	771	114	194	167	302	230	255	265	339	260	200
gene33	CP007536.1	26144	26656	-	513	87	95	67	139	162	232	161	180	139	118
gene34	CP007536.1	26637	27476	-	840	264	336	283	534	623	665	505	589	467	335
gene35	CP007536.1	27498	28418	+	921	302	448	312	709	558	500	459	715	566	547
gene36	CP007536.1	28382	28774	+	393	162	224	154	372	240	201	188	224	216	140
gene37	CP007536.1	28871	29842	+	972	1720	2330	1766	3672	2771	2909	2295	2708	2321	1657
gene38	CP007536.1	29895	30365	+	471	131	105	79	210	144	179	171	181	175	136
gene39	CP007536.1	30428	30766	+	339	213	328	263	526	404	389	370	452	434	433
gene40	CP007536.1	30772	31074	-	303	36	42	31	82	48	74	64	61	54	46
gene41	CP007536.1	31071	32243	-	1173	510	623	482	1136	921	1110	740	852	634	550
gene42	CP007536.1	32307	33800	+	1494	293	410	296	659	513	1268	826	858	722	475
gene43	CP007536.1	33788	35455	+	1668	203	180	151	399	334	535	375	469	456	339
gene44	CP007536.1	35609	36658	+	1050	740	876	704	1570	1309	1781	1596	2125	1960	1443
gene45	CP007536.1	36790	37083	+	294	230	270	215	433	349	445	450	518	564	395
gene46	CP007536.1	37075	38979	-	1905	540	468	402	1080	982	1906	1403	1617	1504	1073
gene47	CP007536.1	39115	39432	+	318	367	538	372	796	630	954	889	979	763	612
gene48	CP007536.1	39443	40516	+	1074	576	807	546	1266	1081	1518	1134	1463	1133	780
gene49	CP007536.1	40509	40949	-	441	37	56	42	94	62	71	55	76	60	47
gene50	CP007536.1	41001	41090	-	90	0	2	1	3	0	4	2	2	5	4
gene51	CP007536.1	41124	41711	-	588	49	41	50	81	66	117	120	117	121	84
gene52	CP007536.1	41749	42681	-	933	214	244	204	481	348	426	336	473	430	330
gene53	CP007536.1	42727	43257	-	531	403	466	346	820	632	933	653	575	522	414
gene54	CP007536.1	43220	43513	-	294	74	67	54	140	103	84	71	107	114	69
gene55	CP007536.1	43617	44759	-	1143	18566	22008	16910	40613	30173	34932	31053	36355	29573	29339
gene56	CP007536.1	45031	45594	+	564	1567	1942	1423	2629	2242	2367	2589	2924	3044	2360
gene57	CP007536.1	45696	45932	+	237	113	77	63	147	120	221	183	234	246	165
